number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at
INC0000045,New,TRUE,0,0,0,TRUE,Caller 2403,Opened by  8,2/29/2016 1:16,Created by 6,2/29/2016 1:23,Updated by 21,2/29/2016 1:23,Phone,Location 143,Category 55,Subcategory 170,Symptom 72,?,2 - Medium,2 - Medium,3 - Moderate,Group 56,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 5,Resolved by 149,2/29/2016 11:29,3/5/2016 12:00
INC0000045,Resolved,TRUE,0,0,2,TRUE,Caller 2403,Opened by  8,2/29/2016 1:16,Created by 6,2/29/2016 1:23,Updated by 642,2/29/2016 8:53,Phone,Location 143,Category 55,Subcategory 170,Symptom 72,?,2 - Medium,2 - Medium,3 - Moderate,Group 56,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 5,Resolved by 149,2/29/2016 11:29,3/5/2016 12:00
INC0000045,Resolved,TRUE,0,0,3,TRUE,Caller 2403,Opened by  8,2/29/2016 1:16,Created by 6,2/29/2016 1:23,Updated by 804,2/29/2016 11:29,Phone,Location 143,Category 55,Subcategory 170,Symptom 72,?,2 - Medium,2 - Medium,3 - Moderate,Group 56,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 5,Resolved by 149,2/29/2016 11:29,3/5/2016 12:00
INC0000045,Closed,FALSE,0,0,4,TRUE,Caller 2403,Opened by  8,2/29/2016 1:16,Created by 6,2/29/2016 1:23,Updated by 908,3/5/2016 12:00,Phone,Location 143,Category 55,Subcategory 170,Symptom 72,?,2 - Medium,2 - Medium,3 - Moderate,Group 56,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 5,Resolved by 149,2/29/2016 11:29,3/5/2016 12:00
INC0000047,New,TRUE,0,0,0,TRUE,Caller 2403,Opened by  397,2/29/2016 4:40,Created by 171,2/29/2016 4:57,Updated by 746,2/29/2016 4:57,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 89,TRUE,FALSE,Do Not Notify,?,?,?,?,code 5,Resolved by 81,3/1/2016 9:52,3/6/2016 10:00
INC0000047,Active,TRUE,1,0,1,TRUE,Caller 2403,Opened by  397,2/29/2016 4:40,Created by 171,2/29/2016 4:57,Updated by 21,2/29/2016 5:30,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 31,TRUE,FALSE,Do Not Notify,?,?,?,?,code 5,Resolved by 81,3/1/2016 9:52,3/6/2016 10:00
INC0000047,Active,TRUE,1,0,2,TRUE,Caller 2403,Opened by  397,2/29/2016 4:40,Created by 171,2/29/2016 4:57,Updated by 21,2/29/2016 5:33,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 31,TRUE,FALSE,Do Not Notify,?,?,?,?,code 5,Resolved by 81,3/1/2016 9:52,3/6/2016 10:00
INC0000047,Active,TRUE,1,0,3,TRUE,Caller 2403,Opened by  397,2/29/2016 4:40,Created by 171,2/29/2016 4:57,Updated by 804,2/29/2016 11:31,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 31,TRUE,FALSE,Do Not Notify,?,?,?,?,code 5,Resolved by 81,3/1/2016 9:52,3/6/2016 10:00
INC0000047,Active,TRUE,1,0,4,TRUE,Caller 2403,Opened by  397,2/29/2016 4:40,Created by 171,2/29/2016 4:57,Updated by 703,2/29/2016 11:32,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 31,TRUE,FALSE,Do Not Notify,?,?,?,?,code 5,Resolved by 81,3/1/2016 9:52,3/6/2016 10:00
INC0000047,Active,TRUE,1,0,5,TRUE,Caller 2403,Opened by  397,2/29/2016 4:40,Created by 171,2/29/2016 4:57,Updated by 332,3/1/2016 9:14,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 31,TRUE,FALSE,Do Not Notify,?,?,?,?,code 5,Resolved by 81,3/1/2016 9:52,3/6/2016 10:00
INC0000047,Awaiting User Info,TRUE,1,0,6,TRUE,Caller 2403,Opened by  397,2/29/2016 4:40,Created by 171,2/29/2016 4:57,Updated by 332,3/1/2016 9:14,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 89,TRUE,FALSE,Do Not Notify,?,?,?,?,code 5,Resolved by 81,3/1/2016 9:52,3/6/2016 10:00
INC0000047,Resolved,TRUE,1,0,7,TRUE,Caller 2403,Opened by  397,2/29/2016 4:40,Created by 171,2/29/2016 4:57,Updated by 332,3/1/2016 9:52,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 89,TRUE,FALSE,Do Not Notify,?,?,?,?,code 5,Resolved by 81,3/1/2016 9:52,3/6/2016 10:00
INC0000047,Closed,FALSE,1,0,8,TRUE,Caller 2403,Opened by  397,2/29/2016 4:40,Created by 171,2/29/2016 4:57,Updated by 908,3/6/2016 10:00,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 89,TRUE,FALSE,Do Not Notify,?,?,?,?,code 5,Resolved by 81,3/1/2016 9:52,3/6/2016 10:00
INC0000057,New,TRUE,0,0,0,TRUE,Caller 4416,Opened by  8,2/29/2016 6:10,?,?,Updated by 21,2/29/2016 6:26,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 10,Resolved by 5,3/1/2016 2:55,3/6/2016 3:00
INC0000057,New,TRUE,0,0,1,TRUE,Caller 4416,Opened by  8,2/29/2016 6:10,?,?,Updated by 21,2/29/2016 6:38,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 10,Resolved by 5,3/1/2016 2:55,3/6/2016 3:00
INC0000057,New,TRUE,0,0,2,TRUE,Caller 4416,Opened by  8,2/29/2016 6:10,?,?,Updated by 451,2/29/2016 10:06,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,TRUE,FALSE,Do Not Notify,Problem ID  2,?,?,?,code 10,Resolved by 5,3/1/2016 2:55,3/6/2016 3:00
INC0000057,New,TRUE,0,0,3,TRUE,Caller 4416,Opened by  8,2/29/2016 6:10,?,?,Updated by 21,3/1/2016 2:53,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,TRUE,FALSE,Do Not Notify,Problem ID  2,?,?,?,code 10,Resolved by 5,3/1/2016 2:55,3/6/2016 3:00
INC0000057,New,TRUE,0,0,4,TRUE,Caller 4416,Opened by  8,2/29/2016 6:10,?,?,Updated by 21,3/1/2016 2:54,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,TRUE,FALSE,Do Not Notify,Problem ID  2,?,?,?,code 10,Resolved by 5,3/1/2016 2:55,3/6/2016 3:00
INC0000057,Resolved,TRUE,0,0,5,TRUE,Caller 4416,Opened by  8,2/29/2016 6:10,?,?,Updated by 21,3/1/2016 2:55,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 6,TRUE,FALSE,Do Not Notify,Problem ID  2,?,?,?,code 10,Resolved by 5,3/1/2016 2:55,3/6/2016 3:00
INC0000057,Closed,FALSE,0,0,6,TRUE,Caller 4416,Opened by  8,2/29/2016 6:10,?,?,Updated by 908,3/6/2016 3:00,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 6,TRUE,FALSE,Do Not Notify,Problem ID  2,?,?,?,code 10,Resolved by 5,3/1/2016 2:55,3/6/2016 3:00
INC0000060,New,TRUE,0,0,0,TRUE,Caller 4491,Opened by  180,2/29/2016 6:38,Created by 81,2/29/2016 6:42,Updated by 340,2/29/2016 6:42,Phone,Location 204,Category 9,Subcategory 97,Symptom 450,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,TRUE,FALSE,Do Not Notify,?,?,?,?,code 3,Resolved by 113,3/2/2016 12:06,3/7/2016 13:00
INC0000060,Active,TRUE,0,0,1,TRUE,Caller 4491,Opened by  180,2/29/2016 6:38,Created by 81,2/29/2016 6:42,Updated by 465,3/2/2016 8:52,Phone,Location 204,Category 9,Subcategory 97,Symptom 450,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,TRUE,FALSE,Do Not Notify,?,?,?,?,code 3,Resolved by 113,3/2/2016 12:06,3/7/2016 13:00
INC0000060,Resolved,TRUE,0,0,2,TRUE,Caller 4491,Opened by  180,2/29/2016 6:38,Created by 81,2/29/2016 6:42,Updated by 465,3/2/2016 12:06,Phone,Location 204,Category 9,Subcategory 97,Symptom 450,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,TRUE,FALSE,Do Not Notify,?,?,?,?,code 3,Resolved by 113,3/2/2016 12:06,3/7/2016 13:00
INC0000060,Closed,FALSE,0,0,3,TRUE,Caller 4491,Opened by  180,2/29/2016 6:38,Created by 81,2/29/2016 6:42,Updated by 908,3/7/2016 13:00,Phone,Location 204,Category 9,Subcategory 97,Symptom 450,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,TRUE,FALSE,Do Not Notify,?,?,?,?,code 3,Resolved by 113,3/2/2016 12:06,3/7/2016 13:00
INC0000062,New,TRUE,0,0,0,TRUE,Caller 3765,Opened by  180,2/29/2016 6:58,Created by 81,2/29/2016 7:26,Updated by 340,2/29/2016 7:26,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,2/29/2016 15:51,3/5/2016 16:00
INC0000062,New,TRUE,0,0,1,TRUE,Caller 3765,Opened by  180,2/29/2016 6:58,Created by 81,2/29/2016 7:26,Updated by 340,2/29/2016 7:29,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,1 - High,2 - Medium,2 - High,Group 70,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,2/29/2016 15:51,3/5/2016 16:00
INC0000062,New,TRUE,1,0,2,TRUE,Caller 3765,Opened by  180,2/29/2016 6:58,Created by 81,2/29/2016 7:26,Updated by 340,2/29/2016 7:34,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,1 - High,2 - Medium,2 - High,Group 23,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,2/29/2016 15:51,3/5/2016 16:00
INC0000062,New,TRUE,1,0,3,TRUE,Caller 3765,Opened by  180,2/29/2016 6:58,Created by 81,2/29/2016 7:26,Updated by 804,2/29/2016 11:23,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,1 - High,2 - Medium,2 - High,Group 23,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,2/29/2016 15:51,3/5/2016 16:00
INC0000062,New,TRUE,1,0,4,TRUE,Caller 3765,Opened by  180,2/29/2016 6:58,Created by 81,2/29/2016 7:26,Updated by 804,2/29/2016 11:28,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,1 - High,2 - Medium,2 - High,Group 23,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,2/29/2016 15:51,3/5/2016 16:00
INC0000062,New,TRUE,1,0,5,TRUE,Caller 3765,Opened by  180,2/29/2016 6:58,Created by 81,2/29/2016 7:26,Updated by 241,2/29/2016 15:51,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,1 - High,2 - Medium,2 - High,Group 23,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,2/29/2016 15:51,3/5/2016 16:00
INC0000062,Resolved,TRUE,1,0,6,TRUE,Caller 3765,Opened by  180,2/29/2016 6:58,Created by 81,2/29/2016 7:26,Updated by 241,2/29/2016 15:51,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,1 - High,2 - Medium,2 - High,Group 23,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,2/29/2016 15:51,3/5/2016 16:00
INC0000062,Closed,FALSE,1,0,7,FALSE,Caller 3765,Opened by  180,2/29/2016 6:58,Created by 81,2/29/2016 7:26,Updated by 908,3/5/2016 16:00,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,1 - High,2 - Medium,2 - High,Group 23,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,2/29/2016 15:51,3/5/2016 16:00
INC0000063,New,TRUE,0,0,0,TRUE,Caller 2146,Opened by  180,2/29/2016 7:08,Created by 81,2/29/2016 7:17,Updated by 340,2/29/2016 7:17,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,2/29/2016 16:01,3/5/2016 17:00
INC0000063,New,TRUE,0,0,1,TRUE,Caller 2146,Opened by  180,2/29/2016 7:08,Created by 81,2/29/2016 7:17,Updated by 340,2/29/2016 7:23,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,2/29/2016 16:01,3/5/2016 17:00
INC0000063,New,TRUE,0,0,2,TRUE,Caller 2146,Opened by  180,2/29/2016 7:08,Created by 81,2/29/2016 7:17,Updated by 340,2/29/2016 7:27,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,2/29/2016 16:01,3/5/2016 17:00
INC0000063,New,TRUE,0,0,3,TRUE,Caller 2146,Opened by  180,2/29/2016 7:08,Created by 81,2/29/2016 7:17,Updated by 60,2/29/2016 7:46,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,2/29/2016 16:01,3/5/2016 17:00
INC0000063,New,TRUE,1,0,4,TRUE,Caller 2146,Opened by  180,2/29/2016 7:08,Created by 81,2/29/2016 7:17,Updated by 60,2/29/2016 7:46,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,2/29/2016 16:01,3/5/2016 17:00
INC0000063,New,TRUE,1,0,5,TRUE,Caller 2146,Opened by  180,2/29/2016 7:08,Created by 81,2/29/2016 7:17,Updated by 241,2/29/2016 16:01,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,2/29/2016 16:01,3/5/2016 17:00
INC0000063,Resolved,TRUE,1,0,6,TRUE,Caller 2146,Opened by  180,2/29/2016 7:08,Created by 81,2/29/2016 7:17,Updated by 241,2/29/2016 16:01,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,2/29/2016 16:01,3/5/2016 17:00
INC0000063,Closed,FALSE,1,0,7,TRUE,Caller 2146,Opened by  180,2/29/2016 7:08,Created by 81,2/29/2016 7:17,Updated by 908,3/5/2016 17:00,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,2/29/2016 16:01,3/5/2016 17:00
INC0000064,New,TRUE,0,0,0,TRUE,Caller 2838,Opened by  131,2/29/2016 7:10,Created by 62,2/29/2016 7:14,Updated by 265,2/29/2016 7:14,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 78,TRUE,FALSE,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/2016 16:00,3/8/2016 17:00
INC0000064,New,TRUE,0,0,1,TRUE,Caller 2838,Opened by  131,2/29/2016 7:10,Created by 62,2/29/2016 7:14,Updated by 265,2/29/2016 7:16,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 78,TRUE,FALSE,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/2016 16:00,3/8/2016 17:00
INC0000064,Active,TRUE,0,0,2,TRUE,Caller 2838,Opened by  131,2/29/2016 7:10,Created by 62,2/29/2016 7:14,Updated by 723,2/29/2016 13:12,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 186,TRUE,FALSE,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/2016 16:00,3/8/2016 17:00
INC0000064,Active,TRUE,1,0,3,TRUE,Caller 2838,Opened by  131,2/29/2016 7:10,Created by 62,2/29/2016 7:14,Updated by 723,2/29/2016 13:13,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/2016 16:00,3/8/2016 17:00
INC0000064,Active,TRUE,1,0,4,TRUE,Caller 2838,Opened by  131,2/29/2016 7:10,Created by 62,2/29/2016 7:14,Updated by 307,3/2/2016 9:17,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 78,TRUE,FALSE,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/2016 16:00,3/8/2016 17:00
INC0000064,Active,TRUE,1,0,5,TRUE,Caller 2838,Opened by  131,2/29/2016 7:10,Created by 62,2/29/2016 7:14,Updated by 307,3/2/2016 12:00,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 78,TRUE,FALSE,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/2016 16:00,3/8/2016 17:00
INC0000064,Active,TRUE,1,0,6,TRUE,Caller 2838,Opened by  131,2/29/2016 7:10,Created by 62,2/29/2016 7:14,Updated by 307,3/3/2016 16:00,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 78,TRUE,FALSE,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/2016 16:00,3/8/2016 17:00
INC0000064,Resolved,TRUE,1,0,7,TRUE,Caller 2838,Opened by  131,2/29/2016 7:10,Created by 62,2/29/2016 7:14,Updated by 307,3/3/2016 16:00,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 78,TRUE,FALSE,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/2016 16:00,3/8/2016 17:00
INC0000064,Closed,FALSE,1,0,8,TRUE,Caller 2838,Opened by  131,2/29/2016 7:10,Created by 62,2/29/2016 7:14,Updated by 908,3/8/2016 17:00,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 78,TRUE,FALSE,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/2016 16:00,3/8/2016 17:00
